Home_Value,Square_Footage,Property_Age,Distance_to_Transit,School_District_Rating
204708.1,1505.6,43.5,9.47,Average
180302.88,1181.5,39.0,0.45,Good
439969.3,3033.9,71.6,6.72,Good
322588.62,2024.3,51.0,8.96,Good
301107.52,1912.6,11.1,0.8,Good
387376.88,2259.8,12.3,5.76,Good
268499.08,2692.7,18.7,14.22,Excellent
324056.59,1519.8,11.5,10.68,Poor
367879.43,2249.0,15.2,8.49,Excellent
426485.91,3114.3,15.1,11.91,Poor
298128.16,1837.6,27.8,13.05,Average
481601.36,3582.2,27.9,7.84,Excellent
319418.65,2780.1,77.5,11.47,Good
267337.94,1963.5,54.7,1.96,Average
367899.6,2565.8,47.8,12.71,Excellent
299514.33,2206.6,52.4,7.21,Good
326422.74,2273.4,52.0,14.97,Good
308042.23,2049.2,56.1,2.56,Poor
278490.89,2156.3,69.8,11.9,Excellent
359165.22,2324.0,38.8,4.52,Average
341122.66,1797.8,1.3,9.86,Excellent
350607.34,1992.8,29.8,7.12,Good
397727.72,2892.7,19.3,1.62,Good
296757.87,2128.0,48.5,7.8,Good
451376.24,3543.9,55.8,10.21,Average
369214.38,2690.3,68.5,5.66,Poor
362758.5,2017.2,66.2,8.6,Average
310728.7,2132.3,2.2,9.8,Average
298787.94,1827.1,2.8,14.36,Good
388921.3,2465.4,61.3,0.45,Good
388266.13,2184.7,22.4,7.86,Poor
328274.1,2151.1,45.3,5.48,Excellent
334721.57,2786.0,75.2,2.76,Good
258169.1,1852.0,38.9,7.02,Excellent
323524.77,2027.4,10.2,5.99,Excellent
256600.78,1809.6,46.0,9.67,Poor
396836.0,2164.6,59.0,4.88,Excellent
303433.68,2141.5,62.2,9.36,Excellent
355544.39,2230.6,66.6,2.9,Poor
334106.27,2730.3,26.4,4.37,Average
408117.87,2898.4,78.4,11.61,Average
435867.41,2939.4,30.4,7.53,Poor
193857.41,1531.7,20.7,2.1,Average
318391.06,2539.9,66.1,8.35,Good
293441.72,2184.0,74.9,13.24,Poor
290788.16,2192.5,72.7,14.64,Average
272912.6,1455.1,52.3,2.54,Poor
363532.38,3344.8,72.2,1.07,Poor
225536.05,1417.9,34.7,0.4,Poor
203342.31,2024.6,60.4,8.11,Good
328355.8,2492.9,76.5,7.53,Good
277826.62,2254.4,66.7,4.72,Good
311670.63,1769.0,4.8,14.28,Excellent
369169.11,2713.7,26.8,10.51,Poor
385228.85,3160.6,65.5,12.59,Good
333758.12,1941.9,26.9,14.37,Good
404845.58,2310.6,42.8,0.68,Good
139075.53,1181.9,35.4,5.01,Poor
234392.13,2118.5,78.9,9.14,Average
364279.23,2491.9,11.1,13.87,Average
362566.76,2276.0,21.2,6.94,Good
291622.89,1483.5,3.6,11.5,Good
276394.67,1673.1,46.6,3.91,Good
406026.26,2148.8,1.0,14.28,Average
335072.2,2109.2,21.6,1.38,Average
437809.33,2399.0,13.0,0.23,Excellent
429700.12,2414.5,33.5,10.81,Average
297432.31,2094.3,78.7,11.95,Poor
203255.19,1577.0,75.3,12.23,Average
369815.89,2732.8,18.8,4.61,Poor
394047.92,2726.8,47.0,5.24,Good
322190.48,2255.0,49.1,4.72,Good
413484.77,2449.7,33.4,3.61,Excellent
356850.48,2548.1,60.6,13.92,Excellent
507671.45,3893.2,48.0,13.59,Poor
455313.09,2781.0,11.3,2.94,Poor
275873.07,2219.1,27.2,12.42,Excellent
318483.47,1426.9,52.8,5.75,Good
246655.48,1702.9,43.2,7.09,Poor
365609.97,2128.9,34.8,7.29,Excellent
230792.13,2023.1,31.8,3.15,Good
332886.28,2028.4,34.4,2.5,Average
304856.62,2349.5,31.4,13.68,Good
232243.4,2013.8,70.6,7.36,Good
402868.76,2783.9,35.7,4.72,Poor
319195.46,1801.2,36.5,10.2,Excellent
392356.93,3273.7,74.9,7.53,Good
576289.58,3849.0,46.5,10.82,Good
373884.17,1917.0,2.0,6.26,Average
262418.14,1824.1,40.7,7.4,Good
360645.95,2728.4,26.7,12.42,Excellent
379731.44,2740.8,10.3,2.97,Good
266098.4,2531.8,76.2,3.08,Average
458521.18,2733.4,23.5,4.4,Poor
272118.16,1452.9,18.4,3.56,Good
187846.25,1807.6,66.6,12.52,Good
280463.15,2546.2,57.7,7.65,Good
363451.86,2391.5,22.2,7.5,Average
372652.8,2395.2,71.3,3.71,Poor
325127.37,2145.0,69.9,3.19,Good
241117.49,1333.4,18.0,11.31,Poor
346053.52,2021.0,13.8,2.87,Excellent
351507.34,3104.3,35.0,6.02,Poor
276095.55,1896.8,30.0,2.18,Good
367278.14,2797.8,65.0,6.45,Good
253956.78,1943.6,78.2,6.82,Excellent
292170.73,2783.4,61.5,14.89,Excellent
437135.4,3129.9,32.4,1.97,Average
288329.07,1713.7,32.3,5.81,Good
247395.82,2579.9,67.2,2.72,Excellent
160842.17,1072.4,34.1,5.27,Poor
271899.44,1540.4,50.5,1.69,Poor
290100.33,2181.0,61.7,13.62,Average
399780.51,2580.5,42.3,3.24,Good
315511.78,2217.1,12.6,11.32,Excellent
325204.86,2363.1,27.4,11.02,Average
273327.54,2566.1,53.9,11.68,Good
399301.32,2268.0,8.7,4.32,Poor
409803.0,2576.6,21.1,2.58,Good
380891.29,2844.8,69.4,10.94,Poor
278424.46,2054.2,8.3,0.87,Average
272746.63,1433.4,44.0,12.36,Poor
259439.07,1525.9,47.1,4.75,Average
296975.39,1857.8,53.2,6.25,Average
241851.17,1049.6,44.7,8.12,Good
417303.66,2589.2,61.9,14.17,Excellent
362289.05,3032.1,71.4,7.68,Average
246042.89,1823.4,38.9,11.35,Excellent
180866.61,1518.6,58.5,11.49,Average
361842.67,3266.1,51.5,8.52,Average
299548.2,2155.7,27.1,9.86,Poor
260915.38,2315.0,60.6,6.94,Poor
429850.63,2661.4,35.3,5.82,Poor
352222.22,2237.6,43.7,7.43,Average
322011.15,2189.0,33.0,6.92,Poor
304634.16,2517.8,13.9,6.47,Good
271313.61,2113.3,65.5,9.92,Poor
309479.47,1958.1,72.7,7.95,Average
212229.83,1519.3,25.6,0.35,Good
253246.92,2339.7,78.0,7.45,Excellent
238768.02,1584.4,31.7,8.62,Good
227756.26,1892.9,76.0,10.41,Average
515119.34,3390.6,23.2,12.82,Poor
247963.77,1820.3,77.8,0.31,Excellent
407964.36,3481.6,68.3,14.95,Poor
364528.98,2653.2,79.8,2.24,Excellent
379598.21,3006.4,65.9,4.86,Excellent
366596.24,2509.3,23.6,4.24,Poor
198492.03,1197.3,47.3,1.68,Excellent
333556.45,2129.6,74.0,6.64,Good
259065.12,1392.2,21.9,4.38,Average
261891.71,1842.7,2.6,5.95,Good
474850.38,3146.7,20.2,3.47,Good
342288.88,2149.3,55.3,2.26,Good
272033.6,1633.7,34.9,14.73,Poor
297796.86,2219.6,28.5,7.91,Average
357119.16,2206.8,9.3,2.64,Average
350687.4,2601.5,62.9,10.1,Good
463082.26,2923.2,21.3,6.44,Good
177129.91,1539.8,54.9,1.03,Excellent
258704.58,1694.9,42.8,12.73,Good
209777.93,1276.6,67.6,3.98,Average
418552.99,3028.8,10.5,3.09,Average
517072.21,3622.5,18.7,10.5,Average
254583.71,1975.7,24.5,8.58,Excellent
248889.56,2102.6,78.3,11.27,Average
238298.01,2037.4,31.1,13.67,Poor
232792.94,2044.6,56.2,0.15,Average
317933.4,1994.8,60.9,5.01,Average
339232.01,2351.6,75.1,8.46,Average
315735.67,2527.6,59.5,14.46,Poor
390540.32,2769.9,29.1,12.57,Average
346261.27,2038.3,5.1,4.63,Average
391151.79,2583.5,60.4,5.82,Poor
282598.21,1567.7,33.8,2.25,Average
284323.13,1850.2,52.9,6.08,Average
348614.51,2962.2,28.1,6.65,Average
200089.36,1479.8,60.6,6.34,Poor
279123.14,1380.0,12.1,13.9,Poor
294655.21,1607.5,7.3,13.75,Excellent
304867.41,2034.3,63.0,5.15,Poor
398343.08,2638.4,35.7,2.61,Poor
269277.43,2161.3,30.5,4.42,Good
418347.76,3109.6,28.6,7.25,Good
387987.17,2731.0,44.1,14.83,Poor
391365.56,2363.2,47.6,8.28,Average
452580.68,3073.1,52.3,6.53,Excellent
315838.95,1982.4,60.2,7.47,Average
154295.52,704.9,28.6,9.22,Good
377588.38,2557.7,6.7,2.35,Excellent
284131.09,2188.4,27.6,12.93,Excellent
424156.34,3364.2,46.5,3.03,Average
351207.88,3073.4,49.3,3.18,Good
263635.39,2349.4,70.0,9.05,Poor
216344.65,1797.2,67.8,0.15,Good
452197.79,3332.8,39.8,14.43,Good
310807.02,2366.2,3.9,2.11,Excellent
425491.87,3511.6,42.3,13.94,Good
271500.03,2071.2,70.0,6.24,Poor
316085.55,1720.7,9.1,2.9,Poor
380881.33,2888.3,38.2,9.78,Poor
299745.86,2134.4,63.1,8.19,Good
336596.2,2231.6,40.7,7.3,Poor
363142.59,3264.2,75.2,13.65,Average
358193.7,2215.7,72.5,0.13,Poor
171931.49,2122.5,77.4,10.72,Average
229936.32,2238.0,54.1,4.94,Excellent
294831.78,1875.1,13.7,10.17,Average
278092.98,2071.6,4.9,3.39,Good
328456.17,2285.7,0.0,14.71,Good
331189.13,2349.9,44.4,12.61,Good
328206.93,2138.8,70.3,9.45,Average
116872.32,876.8,71.6,10.57,Poor
277783.64,2304.2,38.3,7.14,Good
558724.23,4366.0,79.3,9.84,Excellent
365808.68,2202.6,52.9,0.2,Poor
308537.19,2249.8,70.1,13.11,Excellent
444849.07,2337.3,20.5,9.4,Poor
357123.92,2825.8,37.4,9.37,Excellent
413394.23,3197.8,36.6,9.88,Excellent
336120.85,2169.6,55.2,5.58,Good
416355.03,2845.5,53.6,0.56,Good
269091.22,2091.7,76.5,10.69,Good
251537.77,1749.1,0.4,0.6,Average
390952.54,2849.4,2.6,6.88,Average
333794.92,2227.9,62.4,3.56,Good
358983.43,2427.1,39.8,0.59,Good
460402.83,3453.6,43.3,13.76,Poor
327283.87,2462.1,22.7,7.34,Good
108976.57,1224.9,9.6,11.55,Good
500099.44,2862.6,4.9,10.03,Good
261769.73,1465.7,19.7,1.84,Good
235587.85,1763.6,8.3,12.99,Good
366743.56,2821.2,46.2,5.0,Excellent
296815.3,1841.4,12.8,5.65,Average
317615.63,2256.1,14.8,10.57,Poor
288322.32,1937.0,54.2,10.92,Average
360106.32,3118.6,72.5,2.53,Excellent
320847.79,2019.9,1.8,9.5,Poor
424976.92,2663.7,3.5,6.88,Poor
279766.22,1610.2,1.5,10.81,Poor
438976.15,3069.1,41.4,2.36,Poor
356787.07,2783.1,74.0,13.98,Good
387422.8,2651.4,1.3,10.24,Excellent
329022.11,2212.1,43.4,2.67,Excellent
296430.8,2316.0,42.5,0.32,Excellent
380344.13,3054.3,39.0,14.63,Good
349862.48,2314.1,35.3,6.02,Average
145700.66,1583.2,52.8,7.75,Poor
338704.83,2257.1,74.7,4.21,Good
252146.91,1647.1,3.4,12.91,Average
334022.59,2376.1,43.7,11.21,Poor
164189.08,1299.0,34.7,10.79,Good
291217.3,2398.0,14.7,12.8,Excellent
342659.32,2734.9,52.3,9.67,Excellent
385809.96,2832.8,7.9,5.93,Excellent
382146.52,2685.2,20.4,12.51,Average
331351.6,2281.1,32.3,1.72,Poor
472452.02,2823.5,80.0,8.82,Average
188113.1,2530.3,77.0,1.72,Excellent
464120.6,2752.5,19.9,4.56,Poor
170814.62,1688.5,67.1,12.28,Good
323726.62,1847.5,72.9,4.99,Good
226681.23,1373.0,56.1,6.17,Poor
271767.64,2541.1,73.6,10.02,Good
397278.76,2841.5,40.2,0.34,Average
452374.01,3151.8,16.3,9.27,Good
165323.28,1408.9,47.1,2.71,Good
502439.35,3338.0,15.4,3.97,Excellent
305721.5,1788.3,2.9,11.88,Poor
225543.95,1196.9,34.6,11.03,Average
398014.1,2745.4,1.2,0.8,Excellent
254709.29,2349.0,40.1,12.82,Average
113299.79,1167.5,68.9,6.01,Excellent
215536.07,1297.8,18.1,6.95,Good
255057.56,1793.0,21.8,4.04,Average
145737.51,1273.0,79.8,6.45,Excellent
358696.8,2144.9,72.8,3.31,Excellent
510625.26,3635.0,51.5,1.32,Poor
539199.73,3583.5,42.7,11.76,Excellent
114317.31,1367.9,62.2,10.49,Good
304534.65,2360.0,52.9,0.73,Excellent
315653.0,2152.2,17.2,4.4,Poor
203584.99,1068.7,46.0,13.4,Poor
187202.13,1403.4,59.9,12.92,Good
232574.14,1618.8,43.0,9.12,Good
203306.03,1373.7,12.4,4.12,Poor
331947.72,2740.3,17.5,10.95,Average
235949.92,1443.1,9.4,12.07,Poor
393121.94,1856.3,12.6,5.49,Average
310194.47,2999.1,68.6,3.72,Good
355818.23,1854.1,11.3,8.45,Average
390940.94,2251.0,37.4,14.3,Excellent
367462.33,2199.8,26.7,8.0,Excellent
240513.35,2150.1,60.4,4.95,Excellent
404138.63,2416.5,0.2,9.98,Average
234065.4,1518.5,23.9,12.79,Good
429135.58,3332.8,15.3,1.75,Poor
172640.09,1260.2,4.7,12.97,Average
249585.33,2372.0,44.6,3.88,Poor
169931.37,1935.3,71.0,13.33,Good
329523.12,2587.9,74.0,6.0,Average
373245.78,2494.8,11.4,13.1,Excellent
254750.24,1886.5,20.2,10.82,Good
147381.74,1299.0,54.1,6.53,Good
378847.44,2809.0,33.6,7.38,Average
243103.09,1632.1,4.5,10.01,Excellent
239807.97,1254.3,26.4,1.14,Good
338720.36,1615.7,6.4,5.71,Average
265060.81,2423.5,72.6,11.83,Poor
263187.17,1687.0,66.3,6.92,Poor
408090.14,3133.4,38.8,0.43,Average
354691.75,2181.1,8.8,2.41,Good
274718.77,1786.3,10.5,2.7,Average
375563.13,2377.9,14.1,8.98,Good
248050.72,2306.8,59.0,8.11,Good
328367.91,2407.6,9.9,6.92,Excellent
539847.9,3238.9,12.7,1.34,Excellent
257236.44,1788.9,54.7,2.1,Good
396855.02,2219.8,23.0,1.28,Poor
256622.27,2205.1,63.0,2.87,Excellent
430950.89,2587.6,39.2,4.9,Average
299219.64,1602.7,8.4,6.49,Excellent
181080.54,1387.9,63.5,5.47,Good
61231.93,562.8,35.6,13.41,Average
479752.14,2932.2,27.6,12.1,Poor
177701.94,1017.1,24.3,1.28,Excellent
332606.47,2384.1,18.2,10.55,Excellent
413329.25,2409.1,8.4,13.36,Excellent
386434.63,2244.1,65.5,4.61,Poor
308624.48,1795.5,27.0,4.51,Average
467199.97,3256.3,19.6,3.47,Poor
290304.27,2084.6,17.1,8.02,Average
168985.0,1074.4,3.3,13.63,Average
316573.51,2189.1,22.4,8.44,Poor
361752.61,2493.6,56.5,6.28,Good
333709.37,1965.0,1.2,14.03,Good
373180.17,2931.3,52.0,3.41,Good
323265.44,2680.3,30.0,14.09,Poor
394960.41,2451.4,11.7,6.96,Good
127335.95,1198.3,9.9,5.04,Excellent
403143.64,3008.9,11.8,12.82,Excellent
440146.99,2704.0,45.1,9.26,Average
321169.95,2973.2,54.8,8.3,Average
313081.69,2448.8,53.3,3.93,Excellent
333793.47,2092.7,78.9,10.87,Average
373564.61,2671.5,10.4,9.86,Good
471153.31,2732.1,4.8,0.49,Average
395689.98,2361.3,52.7,9.51,Excellent
321539.45,2250.6,26.1,13.26,Good
229859.51,1636.2,22.2,14.12,Excellent
199531.87,1478.9,63.2,12.36,Poor
389368.45,2744.4,4.1,10.49,Excellent
380314.99,2512.3,8.7,6.18,Average
230005.36,1765.8,73.6,6.57,Average
360943.75,2021.1,16.6,5.48,Poor
194390.17,1263.3,78.5,13.47,Excellent
